City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,puri,19.8,85.85,28.29,84,76,5.33,IN,1688414799
301,dolores,-36.3132,-57.6792,18.15,85,96,2.35,AR,1688415038
302,choibalsan,48.0667,114.5,16.34,93,100,6.38,MN,1688415039
303,tarrafal,15.2833,-23.7667,26.44,75,99,2.41,CV,1688415039
304,yeonggwang,35.275,126.5094,23.6,96,100,1.93,KR,1688415040
305,manokwari,-0.8667,134.0833,25.49,83,85,1.42,ID,1688415040
306,mendoza,-32.8908,-68.8272,18.74,48,20,1.54,AR,1688414786
307,berezovo,63.9381,65.0419,19.63,72,28,3.22,RU,1688415041
308,north platte,41.1239,-100.7654,31.85,43,0,5.14,US,1688415042
309,marka,1.7159,44.7717,24.66,81,18,7.44,SO,1688415042
310,st. john's,47.5649,-52.7093,24.66,70,75,6.69,CA,1688414752
311,jalingo,8.8833,11.3667,28.37,66,98,1.68,NG,1688415043
312,tossa de mar,41.7325,2.9338,24.5,63,100,2.68,ES,1688415043
313,isetskoye,56.4858,65.3226,19.66,86,99,1.8,RU,1688415044
314,kiunga,-6.1219,141.2906,23.46,99,100,0.34,PG,1688415044
315,limulunga,-15.0969,23.1376,14.45,39,0,2.96,ZM,1688415044
316,port saint john's,-31.6229,29.5448,18.29,46,0,3.01,ZA,1688415045
317,weno,7.4515,151.8468,25.97,100,75,0.0,FM,1688415045
318,longquan,24.6719,102.1613,19.45,97,100,1.69,CN,1688415046
319,wodonga,-36.1167,146.8833,8.31,100,100,1.36,AU,1688414960
320,kulgam,33.65,75.0167,17.3,81,9,0.89,IN,1688415046
321,alofi,-19.0595,-169.9187,23.94,83,40,3.6,NU,1688415046
322,inonu,37.3167,33.7667,23.68,46,12,1.37,TR,1688415047
323,san luis rio colorado,32.4631,-114.7767,43.47,11,0,6.04,MX,1688415047
324,arno,60.1167,18.6333,13.77,94,100,3.51,SE,1688415047
325,lazaro cardenas,17.9583,-102.2,31.76,60,12,5.18,MX,1688415048
326,tshabong,-26.05,22.45,15.62,29,0,4.26,BW,1688415048
327,pindushi,62.9152,34.58,13.08,86,68,4.36,RU,1688415048
328,grojec,51.8625,20.8676,21.86,52,82,2.95,PL,1688415048
329,vorgashor,67.5833,63.95,15.38,90,44,4.33,RU,1688415049
330,filingue,14.3521,3.3168,37.01,32,100,3.19,NE,1688415049
331,port-vila,-17.7338,168.3219,20.78,83,75,1.54,VU,1688415049
332,ambalangoda,6.2355,80.0538,26.66,83,98,7.51,LK,1688415049
333,micheweni,-4.9667,39.8333,24.34,79,30,5.93,TZ,1688415050
334,caister-on-sea,52.6481,1.7265,16.14,73,13,6.34,GB,1688415050
335,abaete,-19.16,-45.4458,22.91,39,0,1.78,BR,1688415009
336,natal,-5.795,-35.2094,27.36,78,20,3.6,BR,1688415042
337,amahai,-3.3333,128.9167,25.31,90,97,1.44,ID,1688415051
338,luchegorsk,46.4764,134.2569,15.24,89,1,1.07,RU,1688415051
339,fort bragg,35.139,-79.006,34.34,54,20,6.69,US,1688414979
340,orsa,54.5153,30.4053,13.12,78,0,3.78,BY,1688415051
341,mar del plata,-38.0023,-57.5575,17.27,94,100,2.68,AR,1688415012
342,general acha,-37.377,-64.6043,19.02,62,52,1.0,AR,1688415052
343,torghay,49.6339,63.4981,19.01,61,100,3.4,KZ,1688415052
344,pisco,-13.7,-76.2167,23.03,64,20,3.6,PE,1688415052
345,esmeralda,21.8525,-78.1169,32.3,57,17,3.92,CU,1688415053
346,sao gabriel da cachoeira,-0.1303,-67.0892,27.7,89,46,0.23,BR,1688415053
347,ridder,50.355,83.5133,14.38,79,100,1.72,KZ,1688415053
348,xinyuan,37.3,99.0,3.52,33,0,1.91,CN,1688415053
349,khandyga,62.6667,135.6,20.45,75,57,1.52,RU,1688415054
350,callao,-12.0667,-77.15,24.16,57,0,4.63,PE,1688415054
